allocation_date,condition,usable_supply_kg,near_expiry_supply_kg,requested_quantity_kg,allocated_physical_kg,true_fulfilled_kg,quantity_fulfillment_rate,complete_order_fulfillment_rate,exact_grade_fulfillment_rate,substituted_fulfillment_rate,expiring_residual_kg,waste_proxy_rate,weighted_service_value,solver_seconds,decision_cycle_minutes,order_line_count,constraint_violations,parser_latency_seconds,validation_seconds,explanation_seconds,human_review_minutes
2025-03-02,B0_manual,619.0,53.0,653.0,472.0,472.0,0.7228177641653905,0.6,0.5650842266462481,0.15773353751914243,34.0,0.05492730210016155,735.1,0.03375539998523891,29.577771382881494,25,0,0.0,0.0,0.0,29.577771382881494
2025-03-02,B1_optimization_only,619.0,53.0,653.0,522.0,522.0,0.7993874425727412,0.64,0.5696784073506891,0.22970903522205208,0.0,0.0,815.7500000000001,0.01577449997421354,2.825262908332904,25,0,0.0,0.0,0.0,2.825262908332904
2025-03-02,P1_proposed_dss,619.0,53.0,653.0,520.0,510.0,0.781010719754977,0.64,0.5513016845329249,0.22970903522205208,0.0,0.0,791.4500000000002,0.01391370000783354,3.7969933937001654,25,0,6.421556222411947,0.42645883671064116,1.3576748628794935,3.66
2025-03-03,B0_manual,594.0,52.0,626.0,479.0,479.0,0.7651757188498403,0.6060606060606061,0.6932907348242812,0.07188498402555911,16.0,0.026936026936026935,713.6499999999999,0.029025099996943027,39.0918966169512,33,0,0.0,0.0,0.0,39.0918966169512
2025-03-03,B1_optimization_only,594.0,52.0,626.0,534.0,534.0,0.853035143769968,0.7272727272727273,0.6932907348242812,0.1597444089456869,0.0,0.0,785.05,0.01764420000836253,3.0252940700001396,33,0,0.0,0.0,0.0,3.0252940700001396
2025-03-03,P1_proposed_dss,594.0,52.0,626.0,534.0,534.0,0.853035143769968,0.7272727272727273,0.6932907348242812,0.1597444089456869,0.0,0.0,785.05,0.016734300006646663,4.6730378583855305,33,0,9.069935496773756,0.6583730384621814,1.399258473991561,4.487299503231628
2025-03-04,B0_manual,668.0,70.0,733.0,507.0,507.0,0.6916780354706685,0.5625,0.6916780354706685,0.0,18.0,0.02694610778443114,748.8000000000001,0.027742599952034652,32.78981522478404,32,0,0.0,0.0,0.0,32.78981522478404
2025-03-04,B1_optimization_only,668.0,70.0,733.0,599.0,599.0,0.8171896316507503,0.6875,0.6916780354706685,0.12551159618008187,0.0,0.0,879.5000000000001,0.0174428999889642,3.000290714999816,32,0,0.0,0.0,0.0,3.000290714999816
2025-03-04,P1_proposed_dss,668.0,70.0,733.0,599.0,599.0,0.8171896316507503,0.6875,0.6916780354706685,0.12551159618008187,0.0,0.0,879.5000000000001,0.016555899986997247,3.8242217935188743,32,0,6.808418843408576,0.6976668511782952,1.3137824877081634,3.676948058814174
2025-03-05,B0_manual,716.0,53.0,800.0,498.0,498.0,0.6225,0.5925925925925926,0.57625,0.04625,30.0,0.04189944134078212,650.15,0.02356499998131767,28.132231354440304,27,0,0.0,0.0,0.0,28.132231354440304
2025-03-05,B1_optimization_only,716.0,53.0,800.0,618.0,618.0,0.7725,0.7037037037037037,0.57625,0.19625,0.0,0.0,803.7499999999999,0.01690200000302866,2.8752817000000506,27,0,0.0,0.0,0.0,2.8752817000000506
